"Time Series - GHGs from Agriculture, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Romania,"39,042.84","34,651.38","28,962.31","25,443.21","25,435.79","24,496.75","24,591.56","24,023.32","22,588.98","21,942.77","20,847.57","19,794.87","19,835.42","20,285.00","20,777.47","20,632.25","21,110.52","21,366.73","21,134.84","20,694.17","20,078.88","17,943.59","18,159.60","17,933.31","18,508.49","18,688.57","18,925.02","18,829.94","18,964.97","19,525.42","19,243.10","19,010.69","19,169.30",-50.90%
Russian Federation,"250,734.98","250,734.98","237,957.47","225,513.48","208,701.71","186,423.78","165,439.98","153,609.31","141,352.87","127,449.64","120,539.93","120,764.27","118,229.66","117,030.51","114,733.86","111,625.08","106,750.44","104,694.36","106,946.09","110,781.20","108,827.03","105,420.26","108,071.43","107,099.41","109,566.79","109,447.17","110,545.43","114,254.25","115,168.65","114,800.55","116,449.89","118,805.28","121,284.74",-51.63%
Slovakia,"6,068.30","6,068.30","5,251.43","4,135.10","3,684.89","3,532.14","3,585.50","3,470.78","3,402.27","3,058.55","2,882.89","2,855.30","3,009.15","3,013.02","2,737.95","2,714.41","2,720.88","2,530.99","2,601.65","2,719.48","2,467.94","2,581.75","2,514.02","2,429.13","2,565.20","2,698.26","2,516.87","2,636.22","2,492.06","2,512.48","2,529.01","2,531.75","2,430.57",-59.95%
Slovenia,"2,029.47","1,951.30","1,832.54","1,947.36","1,838.74","1,855.14","1,855.02","1,793.79","1,743.34","1,783.31","1,799.01","1,892.16","1,867.71","1,928.00","1,832.83","1,781.47","1,798.73","1,797.93","1,858.89","1,781.55","1,790.48","1,758.29","1,740.61","1,724.58","1,709.19","1,756.01","1,799.50","1,822.17","1,787.84","1,787.58","1,807.85","1,812.99","1,813.47",-10.64%
Spain,"33,022.58","33,022.58","31,639.50","31,753.30","30,833.98","32,367.44","32,792.49","35,383.43","35,338.72","36,276.35","36,904.40","38,754.16","38,446.11","37,980.18","38,903.98","37,973.69","35,896.95","35,150.18","35,867.81","32,961.15","33,482.00","33,208.20","32,688.33","31,623.81","31,338.11","32,621.16","33,236.25","33,305.31","34,084.83","33,971.41","33,898.36","34,674.95","34,369.39",4.08%
Sweden,"7,646.31","7,646.31","7,324.83","7,285.52","7,605.77","7,741.82","7,551.74","7,624.43","7,662.13","7,549.37","7,342.82","7,319.96","7,263.40","7,166.86","7,050.68","7,076.42","6,929.98","6,796.85","6,795.44","6,880.42","6,647.31","6,736.43","6,707.49","6,613.48","6,672.86","6,753.67","6,767.50","6,739.91","6,856.93","6,672.22","6,698.81","6,796.75","6,673.59",-12.72%
Switzerland,"6,801.12","6,801.12","6,773.40","6,686.22","6,594.43","6,578.25","6,583.20","6,484.68","6,263.20","6,220.92","6,166.71","6,136.66","6,170.23","6,098.78","6,014.52","5,997.33","6,075.74","6,118.06","6,181.16","6,273.80","6,171.99","6,182.71","6,155.42","6,157.61","6,079.41","6,214.31","6,112.72","6,097.53","6,059.64","6,000.13","5,895.44","5,858.68","5,897.73",-13.28%
Türkiye,"46,053.68","46,053.68","46,927.90","46,978.76","47,406.98","44,926.27","44,079.79","44,757.27","42,505.02","43,720.12","44,276.39","42,332.13","39,893.71","37,607.79","40,558.17","41,297.53","42,439.07","43,899.69","43,421.25","41,301.78","42,031.85","44,409.31","46,901.07","52,662.08","55,857.58","56,219.32","56,133.27","58,893.78","63,262.40","65,337.76","68,022.31","73,153.50","72,075.48",56.50%
Ukraine,"86,842.92","86,842.92","81,069.50","75,797.07","72,575.16","65,806.65","60,607.71","51,624.89","48,038.92","43,096.56","39,376.72","37,334.68","37,977.30","37,773.06","33,536.74","34,783.29","33,912.93","33,316.73","31,103.75","35,960.28","33,944.10","33,520.89","38,351.53","37,207.73","41,642.84","41,431.02","39,378.00","42,029.31","40,995.67","44,444.96","44,767.64","41,687.10","47,017.37",-45.86%
United Kingdom of Great Britain and Northern Ireland,"50,828.98","50,828.98","50,501.54","50,017.89","49,403.68","50,103.38","49,885.64","50,882.46","50,729.47","50,493.15","50,309.66","48,571.47","46,240.60","45,710.45","46,090.78","46,460.05","46,420.54","45,407.50","44,987.56","43,854.71","43,554.10","43,847.03","43,748.24","43,431.22","43,168.03","44,513.53","44,432.03","43,977.91","44,289.27","43,574.18","43,847.60","42,518.67","43,090.47",-15.22%
United States of America,"548,049.16","548,049.16","540,745.92","543,748.62","561,732.36","566,157.53","572,213.84","577,540.93","566,768.31","574,997.06","571,724.90","564,996.91","573,120.99","577,240.26","576,707.50","579,374.34","577,719.13","574,740.60","594,020.13","586,175.65","585,703.91","590,985.63","582,369.36","572,600.86","597,546.16","603,008.19","604,944.41","601,754.03","613,096.61","629,494.02","614,462.11","597,264.51","598,099.06",9.13%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the “Notes on GHG data” available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Thursday, 23 November 2023 04:13:22 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
