"Time Series - GHGs from Land use, Land-use Change and Forestry, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Malta,-8.00,-8.00,-8.23,-5.04,-4.86,-4.52,-4.01,-4.03,-4.26,-4.04,-4.85,-4.94,-2.41,21.31,21.30,-0.30,-0.49,-1.69,-1.45,12.01,11.43,11.20,-1.97,-1.78,-1.60,-4.17,-3.81,-3.80,1.06,0.40,5.72,8.28,0.64,-107.98%
Monaco,-0.11,-0.11,-0.11,-0.11,-0.11,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.10,-0.10,-0.09,-0.08,-0.02,-0.08,-0.05,-0.09,-0.08,-0.09,-0.08,-0.08,-0.08,-0.07,-0.07,0.04,-0.06,-0.06,-0.07,0.05,-0.07,-0.07,-35.49%
Netherlands,"6,237.13","6,237.13","6,289.42","6,252.20","6,319.86","6,321.50","6,084.96","6,011.47","5,902.28","5,908.03","5,809.62","5,694.57","5,774.51","5,725.11","6,048.65","5,876.60","5,759.54","5,756.89","5,398.06","5,403.98","5,345.30","5,095.41","5,651.69","5,964.97","5,497.31","5,448.33","5,408.33","5,123.40","4,092.58","4,182.02","4,175.89","4,142.38","4,312.94",-30.85%
New Zealand,"-20,171.23","-20,171.23","-22,160.80","-22,014.72","-22,935.40","-22,910.46","-21,829.04","-21,560.30","-22,308.46","-23,006.13","-25,826.79","-26,788.98","-27,356.22","-25,956.26","-27,086.79","-27,033.89","-25,299.46","-23,254.50","-21,615.59","-29,373.36","-28,229.03","-29,225.21","-29,492.08","-26,547.28","-26,211.26","-26,423.84","-26,396.21","-26,085.49","-24,484.06","-24,086.79","-23,921.70","-23,242.04","-21,078.17",4.50%
Norway,"-9,828.56","-9,828.56","-11,615.63","-11,026.45","-12,557.15","-10,483.39","-14,730.04","-13,976.87","-12,901.30","-15,405.90","-17,059.48","-18,686.63","-20,614.97","-21,658.80","-23,258.57","-22,956.98","-20,339.75","-22,338.93","-22,470.36","-23,811.93","-27,240.97","-23,834.27","-25,169.88","-21,412.46","-21,940.88","-18,205.88","-13,382.34","-13,319.72","-12,449.12","-13,282.04","-15,288.86","-19,172.68","-15,497.28",57.68%
Poland,"-17,589.66","-28,493.66","-21,428.21",-205.56,"-7,919.91","-7,474.40","-17,716.93","-35,127.83","-35,018.03","-40,732.98","-37,939.44","-34,569.11","-26,805.85","-35,488.41","-37,470.10","-48,687.85","-48,018.52","-42,106.45","-35,236.16","-34,832.86","-34,749.52","-32,962.30","-38,417.15","-38,799.44","-40,961.15","-33,481.13","-29,143.46","-36,395.76","-37,388.80","-36,748.27","-18,294.50","-18,957.85","-20,094.72",14.24%
Portugal,"7,137.79","7,137.79","-2,231.19","-8,867.27","-9,692.70","-8,826.25","-10,191.41","-9,058.06","-10,096.70","-9,708.17","-10,203.16","-2,046.46","-8,341.42","-7,914.58","4,929.75","-4,386.77","3,489.29","-1,937.18","-3,499.13","-9,461.82","-10,360.66","-6,561.15","-3,046.39","-1,184.84",-17.61,"-5,115.76","-3,782.43","1,050.62","21,471.88","-3,496.92","-4,498.54","-4,707.12","-6,021.05",-184.35%
Romania,"-22,262.07","-28,603.93","-29,071.39","-30,508.62","-31,874.10","-31,470.14","-31,122.15","-30,273.36","-30,958.32","-33,311.16","-32,912.60","-32,922.14","-33,885.94","-31,909.53","-32,486.82","-32,271.39","-33,494.37","-33,102.62","-33,939.21","-34,420.61","-31,430.48","-37,235.53","-37,507.66","-39,911.54","-39,968.92","-51,205.04","-50,297.78","-52,561.42","-50,532.69","-48,207.73","-48,222.60","-50,406.76","-49,258.43",121.27%
Russian Federation,"-77,415.61","-77,415.61","-36,082.55","-42,937.87","-98,711.06","-182,156.54","-259,151.97","-325,674.08","-401,117.92","-410,372.54","-456,453.48","-473,257.27","-524,237.59","-549,985.80","-553,623.66","-544,116.75","-539,689.03","-539,418.93","-558,959.92","-596,126.48","-669,705.22","-698,066.14","-650,667.68","-661,476.95","-612,632.28","-657,432.55","-583,281.59","-615,310.60","-602,907.19","-577,288.72","-550,502.24","-557,559.91","-506,580.26",554.36%
Slovakia,"-9,332.80","-9,332.80","-10,166.98","-10,800.83","-10,592.01","-10,033.96","-9,486.95","-9,401.17","-9,193.13","-10,263.09","-9,423.40","-9,395.36","-8,712.69","-9,191.95","-8,622.11","-8,640.56","-4,750.02","-7,861.85","-7,394.99","-6,299.32","-6,073.04","-5,212.74","-5,563.65","-6,661.26","-7,431.08","-5,232.46","-5,755.83","-5,829.07","-5,724.69","-4,751.43","-5,514.80","-7,695.33","-7,657.83",-17.95%
Slovenia,"-4,790.41","-4,394.56","-4,747.58","-4,863.69","-4,863.81","-5,050.25","-5,136.00","-5,709.28","-5,920.84","-6,064.38","-6,101.30","-6,200.75","-6,249.07","-7,365.65","-7,059.53","-7,185.23","-7,224.49","-7,241.73","-7,555.89","-7,304.72","-7,239.12","-7,166.77","-7,067.70","-7,006.87","-5,307.33",709.03,808.44,956.73,949.47,"1,046.23","-3,344.82","-3,142.73","-3,105.76",-35.17%
