"Time Series - GHGs from Waste, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Lithuania,"1,688.91","1,688.91","1,717.61","1,690.04","1,719.27","1,696.07","1,700.81","1,700.07","1,720.33","1,702.48","1,689.59","1,687.89","1,721.27","1,718.95","1,711.34","1,677.22","1,633.04","1,593.77","1,563.37","1,470.29","1,439.77","1,410.68","1,338.41","1,300.60","1,270.40","1,208.83","1,149.78","1,129.90","1,119.91",999.73,958.36,932.72,893.65,-47.09%
Luxembourg,116.40,116.40,118.84,119.70,121.11,112.20,111.61,113.92,116.68,118.67,118.10,116.09,116.54,117.29,122.54,116.88,118.27,119.07,120.97,122.59,122.33,110.42,106.15,105.33,105.67,107.17,101.94,100.63,100.53,98.54,92.98,89.68,88.26,-24.18%
Malta,75.22,75.22,82.13,88.87,97.27,106.35,113.97,119.16,126.47,137.44,143.20,153.99,161.45,168.91,178.52,187.80,196.73,205.04,208.91,118.26,135.46,123.81,118.97,120.88,119.67,134.43,149.77,161.44,159.67,167.75,184.35,190.78,200.94,167.15%
Monaco,0.71,0.71,0.70,0.70,0.69,0.68,0.68,0.73,0.60,0.65,0.91,1.10,0.95,0.96,0.92,1.22,1.37,1.57,1.46,1.52,0.76,1.01,0.88,1.03,1.06,1.14,1.14,1.10,1.13,1.15,0.90,0.56,0.40,-43.49%
Netherlands,"16,485.71","16,485.71","16,631.07","16,335.73","15,939.63","15,364.98","14,592.21","14,142.59","13,727.75","13,199.69","12,159.31","11,486.73","10,874.40","10,334.86","9,690.67","9,322.94","7,634.18","7,122.10","6,705.81","6,325.13","6,076.51","5,705.79","5,413.48","5,148.14","4,908.87","4,652.97","4,418.98","4,256.56","4,030.66","3,933.46","3,805.73","3,620.77","3,510.23",-78.71%
New Zealand,"3,944.63","3,944.63","4,052.99","4,154.46","4,260.28","4,142.69","4,235.37","4,321.62","4,384.37","4,381.93","4,409.28","4,436.43","4,457.17","4,470.02","4,374.54","4,392.11","4,379.67","4,181.57","4,144.83","4,059.77","3,928.61","3,873.13","3,723.37","3,617.65","3,568.11","3,525.36","3,488.21","3,460.41","3,422.55","3,356.30","3,311.06","3,266.49","3,214.93",-18.50%
Norway,"2,671.28","2,671.28","2,559.59","2,538.63","2,547.75","2,534.73","2,554.52","2,455.05","2,412.50","2,227.01","2,165.17","2,278.08","2,215.18","2,106.92","2,102.10","2,107.95","2,005.05","2,028.94","2,015.68","1,938.94","1,901.48","2,025.81","2,111.56","1,985.04","1,962.31","1,940.19","1,852.53","1,790.51","1,727.15","1,687.38","1,572.53","1,541.37","1,444.55",-45.92%
Poland,"18,260.61","18,142.28","18,382.55","18,536.05","18,588.99","17,673.56","17,331.66","16,789.69","16,098.84","15,740.14","14,963.85","14,225.54","13,476.00","12,811.86","12,346.91","11,633.57","11,000.17","10,213.96","9,678.38","9,069.25","8,599.15","8,275.63","7,359.36","6,716.42","6,498.00","6,003.98","5,608.23","5,243.51","5,377.97","5,377.94","5,182.12","4,752.48","4,674.72",-74.40%
Portugal,"5,110.24","5,110.24","5,241.46","5,395.67","5,532.48","5,702.87","5,856.00","6,027.83","6,218.92","6,422.92","6,623.08","6,869.52","7,045.96","7,197.91","7,363.32","7,351.31","7,226.48","7,133.56","6,966.90","6,749.38","6,633.59","6,478.15","6,404.99","6,180.91","5,986.30","5,846.47","5,489.57","5,347.71","5,303.92","5,237.45","5,222.43","5,014.89","5,007.90",-2.00%
Romania,"5,730.05","5,635.91","5,520.61","5,439.97","5,469.87","5,503.39","5,741.04","5,803.49","5,887.22","5,840.66","5,911.34","6,036.91","6,141.54","6,208.97","6,488.80","6,609.42","6,665.71","6,425.33","6,568.78","6,497.90","6,472.91","6,536.90","5,988.16","6,220.87","6,504.35","6,481.42","6,474.38","6,499.45","6,546.42","6,501.07","6,555.02","6,537.66","6,529.07",13.94%
