"Time Series - GHGs from Energy ? Other, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
United Kingdom of Great Britain and Northern Ireland,"5,347.33","5,347.33","4,346.23","4,137.64","4,190.87","4,007.22","3,933.09","3,851.26","3,674.66","3,230.93","3,186.88","2,951.22","2,956.23","3,091.58","3,198.88","3,089.20","2,875.68","3,508.79","3,804.94","3,300.47","3,019.55","2,934.00","2,782.36","2,551.30","2,312.20","2,039.53","1,678.75","1,563.18","1,600.78","1,634.28","1,649.25","1,388.35","1,584.10",-70.38%
United States of America,"195,507.47","195,507.47","195,610.56","199,563.30","187,027.12","196,645.55","189,873.66","185,769.74","195,473.37","199,488.95","216,947.14","209,443.67","215,955.82","212,910.09","214,293.67","235,482.87","222,853.64","217,908.38","202,908.48","189,649.31","169,901.53","167,075.56","157,131.44","156,325.22","161,907.13","161,048.67","171,732.87","159,537.79","170,722.80","186,879.60","183,462.15","172,900.41","194,757.92",-0.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: ? means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the ?Notes on GHG data? available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Thursday, 23 November 2023 04:16:30 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
