"Time Series - GHGs from Energy – Energy Industries, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
United Kingdom of Great Britain and Northern Ireland,"239,598.39","239,598.39","236,883.89","226,031.00","210,185.50","205,858.85","203,843.59","204,827.25","193,937.82","199,669.11","190,240.15","201,115.61","212,106.73","209,044.52","216,785.97","214,976.05","215,321.44","221,256.24","216,154.93","210,561.48","187,279.36","194,655.34","180,387.55","191,525.18","179,282.26","154,585.94","134,956.40","112,693.62","102,507.82","95,285.86","87,523.11","76,950.98","80,081.49",-66.58%
United States of America,"1,979,956.42","1,979,956.42","1,980,016.92","1,995,079.93","2,073,870.38","2,100,415.41","2,118,976.14","2,193,088.78","2,262,310.73","2,353,513.60","2,364,144.64","2,468,401.03","2,426,619.17","2,439,967.74","2,470,501.56","2,501,916.31","2,568,140.07","2,510,386.51","2,577,083.00","2,525,207.81","2,310,510.41","2,424,762.16","2,350,463.35","2,212,965.86","2,233,424.29","2,236,752.67","2,102,336.05","1,984,802.47","1,907,565.71","1,932,518.92","1,782,330.92","1,607,383.15","1,711,627.45",-13.55%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the “Notes on GHG data” available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Thursday, 23 November 2023 04:15:56 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
