"Time Series - GHGs from Energy ? Transport, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Luxembourg,"2,630.97","2,630.97","3,237.83","3,530.66","3,575.94","3,636.91","3,395.21","3,511.93","3,776.22","3,963.79","4,387.61","4,917.73","5,175.41","5,354.98","5,893.53","6,852.08","7,215.04","6,868.70","6,574.61","6,666.67","6,129.15","6,504.84","6,867.26","6,553.15","6,420.10","6,106.05","5,669.00","5,489.57","5,628.31","6,010.44","6,170.14","4,618.32","4,919.04",86.97%
Malta,351.09,351.09,371.52,396.12,417.46,435.89,450.19,471.76,483.61,490.19,498.30,503.49,528.46,529.96,530.67,507.14,529.91,533.31,549.25,547.38,532.55,578.64,562.20,542.13,541.98,551.62,585.60,585.23,606.15,671.32,713.87,587.86,626.40,78.41%
Monaco,35.21,35.21,40.11,45.82,42.92,44.27,42.84,42.61,40.62,39.30,39.76,38.09,37.85,37.67,37.47,36.62,34.96,34.93,34.29,33.35,30.73,26.52,28.46,30.86,30.68,28.33,26.56,25.54,24.72,24.29,22.88,18.89,18.25,-48.18%
Netherlands,"27,834.91","27,834.91","28,363.15","29,842.81","30,698.43","30,080.99","30,513.08","31,889.95","31,794.90","32,475.57","32,985.73","32,986.73","33,296.80","34,056.09","34,615.80","35,205.53","35,431.53","36,308.11","35,296.46","35,518.75","33,948.41","34,774.44","34,671.02","33,160.06","31,648.68","29,081.35","29,250.57","29,355.37","30,160.65","30,309.43","29,847.04","25,355.57","25,487.95",-8.43%
New Zealand,"8,126.19","8,126.19","8,106.66","8,470.00","8,922.69","9,583.80","10,247.56","10,378.72","10,605.33","10,810.46","11,096.61","11,648.31","11,705.87","12,162.02","12,697.80","12,992.37","13,063.44","13,182.20","13,284.99","13,294.23","13,101.36","13,349.43","13,332.41","13,007.11","13,081.55","13,339.87","13,814.35","13,906.70","14,803.83","15,126.26","14,655.00","13,201.95","13,856.02",70.51%
Norway,"9,919.67","9,919.67","9,670.96","9,886.00","10,181.45","10,141.37","10,903.12","11,425.29","11,685.41","11,986.61","12,652.24","11,868.85","12,214.31","12,116.97","12,667.60","12,887.81","12,910.02","13,409.73","13,737.08","13,526.74","13,302.29","13,931.38","13,994.47","14,137.30","14,190.81","14,551.57","14,348.97","13,844.94","13,050.18","13,242.83","12,767.26","11,996.89","12,275.63",23.75%
Poland,"24,546.37","20,741.06","21,795.20","22,227.24","21,791.00","22,951.71","23,801.48","26,983.16","28,570.17","30,133.96","32,885.84","29,000.43","28,791.51","27,780.68","29,863.99","33,773.25","36,248.83","40,117.16","44,260.70","46,246.80","46,849.78","49,373.53","49,968.79","48,023.98","45,167.85","45,540.03","48,040.11","54,743.92","63,216.76","65,040.40","66,041.58","63,081.57","68,350.91",178.46%
Portugal,"10,820.08","10,820.08","11,551.46","12,422.54","12,879.36","13,575.19","14,185.91","15,010.55","15,698.06","17,122.32","17,986.02","19,727.18","20,073.03","20,409.89","20,286.69","20,248.37","19,947.37","19,958.84","19,546.42","19,208.64","19,185.02","18,974.66","17,624.16","16,232.37","15,865.52","16,206.07","16,370.65","16,831.06","17,179.29","17,243.80","17,740.77","14,831.41","15,914.41",47.08%
Romania,"11,130.15","12,431.77","10,627.86","10,882.14","8,720.91","9,275.75","8,530.65","11,932.87","12,216.11","11,523.72","9,548.68","9,915.10","11,926.06","12,285.17","12,925.90","13,525.40","12,585.37","13,048.25","13,653.64","15,228.31","15,168.81","14,220.16","14,346.03","15,230.72","15,047.22","15,597.13","15,706.56","16,792.31","17,935.04","18,427.36","18,917.01","18,357.63","19,557.28",75.71%
Russian Federation,"320,237.89","320,237.89","311,492.82","253,591.15","231,863.87","216,083.69","207,723.63","198,680.37","184,456.64","192,079.49","186,456.04","174,136.93","178,250.93","185,528.82","194,137.14","205,496.14","207,822.03","214,904.20","221,512.75","227,477.17","212,899.13","229,571.43","239,998.33","233,534.62","237,689.44","250,650.52","266,549.47","248,458.55","247,833.60","254,077.22","246,849.16","229,004.93","225,727.70",-29.51%
