"Time Series - GHGs from Industrial Processes and Product Use, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Lithuania,"4,299.87","4,299.87","4,324.29","2,526.28","1,600.49","1,816.67","2,096.74","2,459.35","2,413.28","2,789.16","2,717.85","2,849.05","3,078.45","3,235.20","3,309.73","3,476.57","3,504.06","3,803.64","5,442.82","4,865.59","2,005.49","2,006.95","3,265.92","3,183.80","2,735.37","2,872.28","3,179.16","3,037.76","3,276.85","2,844.80","3,072.28","2,878.35","2,755.92",-35.91%
Luxembourg,"1,607.66","1,607.66","1,530.56","1,463.98","1,453.09","1,358.23","1,001.93",948.14,840.01,682.27,721.22,749.90,702.64,722.84,670.96,726.94,698.46,752.49,748.44,698.86,628.73,653.49,664.92,634.00,616.71,626.98,618.12,640.37,649.71,647.37,663.77,620.53,565.94,-64.80%
Malta,7.50,7.50,7.73,8.78,8.82,9.11,9.07,8.86,9.08,8.50,7.90,12.64,16.43,19.96,21.62,27.93,42.65,80.49,97.47,113.01,129.45,141.62,167.87,197.34,216.16,224.25,230.49,243.63,250.58,237.90,227.00,232.21,235.83,3042.72%
Monaco,0.15,0.15,0.19,0.24,0.47,0.54,0.59,0.75,0.90,1.22,1.46,1.87,2.80,3.56,3.45,3.21,4.12,5.52,6.44,7.61,7.80,7.72,8.30,7.90,8.96,7.84,8.33,8.07,6.73,8.09,8.23,6.08,6.00,4005.26%
Netherlands,"20,408.37","20,408.37","19,433.17","20,287.92","21,268.67","22,969.24","22,100.73","23,680.34","24,807.88","25,458.76","20,024.57","19,247.60","15,893.87","15,959.90","14,167.36","14,878.89","14,779.17","14,615.46","13,450.75","10,165.16","9,806.66","10,389.72","10,102.21","9,675.00","10,047.38","9,524.20","9,543.62","9,068.02","9,686.76","9,453.47","9,327.65","8,574.08","8,271.08",-59.47%
New Zealand,"3,579.92","3,579.92","3,728.61","3,374.09","3,213.57","3,087.59","3,181.33","3,352.92","3,274.90","3,254.73","3,440.23","3,477.78","3,590.57","3,666.06","3,871.96","3,930.46","4,048.56","4,144.67","4,372.99","4,259.82","4,219.32","4,563.29","4,595.21","4,623.53","4,723.67","4,917.18","5,032.14","4,767.76","4,799.33","4,721.64","4,775.11","4,582.87","4,609.62",28.76%
Norway,"14,697.37","14,697.37","13,580.97","10,947.56","11,730.99","12,051.57","11,914.04","11,802.67","12,117.35","12,423.22","12,481.02","12,776.86","12,380.28","11,522.00","10,953.01","11,687.04","11,229.04","10,532.32","10,520.92","10,475.22","8,151.63","8,890.01","9,024.20","8,951.58","9,087.16","9,083.53","9,098.18","9,038.99","9,023.45","9,080.59","9,064.05","9,001.34","9,014.56",-38.67%
Poland,"29,865.86","21,971.96","19,265.17","18,546.07","18,531.93","20,750.83","22,146.46","21,305.53","22,207.52","20,613.30","19,633.11","22,224.44","20,799.45","19,460.17","22,281.43","23,939.20","23,732.01","26,006.52","28,400.56","27,118.76","21,733.19","22,878.65","25,634.54","24,631.25","23,623.32","25,102.81","24,351.84","24,551.53","25,068.73","25,563.41","25,081.19","24,516.29","24,557.99",-17.77%
Portugal,"6,332.37","6,332.37","6,165.66","5,818.62","5,709.34","5,722.78","6,601.53","6,711.91","7,108.58","7,249.40","7,683.47","7,971.54","7,253.22","7,501.05","7,624.56","8,340.81","8,378.19","8,082.52","8,912.97","8,694.64","6,958.51","7,392.32","6,731.89","6,422.79","6,885.35","7,361.63","7,412.42","6,848.74","7,272.73","6,914.39","7,271.12","7,213.02","7,132.10",12.63%
Romania,"44,946.65","31,807.12","22,749.09","19,614.54","19,548.85","19,699.25","22,824.32","22,097.37","20,477.74","19,380.94","16,833.26","18,042.86","17,735.99","18,636.97","19,390.57","21,505.78","21,484.16","21,040.87","21,239.79","18,141.95","12,044.58","13,781.99","14,400.67","13,087.03","11,365.24","12,094.67","12,137.99","12,236.89","12,368.57","12,664.68","12,593.74","12,686.90","12,794.86",-71.53%
Russian Federation,"286,507.76","286,507.76","263,103.88","234,803.05","201,445.51","176,228.11","184,756.91","168,390.60","168,958.93","161,129.68","182,164.68","198,604.93","196,604.37","193,282.47","196,573.56","210,503.21","212,432.76","220,584.78","221,952.90","213,586.75","187,396.93","204,389.90","207,761.59","223,948.11","229,158.83","229,994.20","228,047.79","228,167.02","242,965.69","252,270.00","246,342.45","254,393.52","259,516.02",-9.42%
Slovakia,"9,541.61","9,541.61","7,388.32","7,037.04","8,089.71","8,260.88","9,166.38","9,473.47","9,529.07","9,689.67","9,338.17","8,407.12","8,562.69","9,609.29","9,198.75","10,454.99","9,925.57","10,742.63","10,618.57","10,503.70","8,964.47","9,288.85","8,941.52","8,885.02","8,613.85","8,829.68","9,029.86","9,244.45","9,524.85","9,506.64","8,638.80","8,082.04","9,493.81",-0.50%
Slovenia,"1,585.89","1,367.88","1,057.02","1,047.32",874.64,"1,051.18","1,056.36","1,057.84","1,097.04","1,075.21","1,099.29","1,141.12","1,196.90","1,203.84","1,271.40","1,321.82","1,394.63","1,438.84","1,448.78","1,322.27",985.61,986.40,997.36,"1,023.62","1,090.76","1,127.97","1,107.87","1,114.40","1,171.85","1,195.05","1,204.55","1,148.84","1,111.14",-29.94%
Spain,"27,963.52","27,963.52","26,637.43","25,314.34","24,347.72","28,316.70","29,873.23","30,789.51","32,966.82","34,761.49","37,494.55","39,386.60","36,972.60","36,614.45","39,278.20","40,388.69","43,104.39","46,032.63","47,581.34","44,601.28","38,004.35","39,094.18","36,350.02","34,743.05","33,614.93","35,454.42","30,117.65","29,649.12","27,410.21","27,009.26","25,341.78","22,939.34","24,126.53",-13.72%
Sweden,"7,427.72","7,427.72","7,196.44","6,693.20","6,843.20","7,311.87","7,699.13","7,468.04","7,521.09","7,703.61","7,670.43","8,117.52","8,212.40","8,449.78","8,095.93","8,653.15","8,570.95","8,533.96","8,483.28","8,176.80","6,174.63","8,162.27","7,695.42","7,357.02","7,383.98","7,274.77","7,227.29","7,772.33","7,526.96","7,211.45","7,839.98","6,377.51","6,976.00",-6.08%
Switzerland,"3,943.35","3,943.35","3,590.92","3,399.53","3,157.98","3,339.28","3,341.06","3,246.21","3,212.88","3,262.56","3,362.54","3,674.97","3,752.08","3,874.84","3,873.96","4,157.69","4,299.25","4,342.70","4,426.37","4,383.97","4,156.37","4,395.46","4,401.34","4,376.18","4,380.51","4,387.99","4,339.67","4,303.21","4,404.79","4,285.43","4,269.82","4,087.32","3,933.36",-0.25%
Türkiye,"22,856.10","22,856.10","24,578.54","24,292.50","24,797.57","24,106.12","25,523.06","26,159.57","27,007.04","27,313.35","25,784.05","26,198.50","25,847.90","26,830.15","28,182.65","30,761.67","34,251.26","36,760.78","39,667.41","41,685.01","43,069.37","49,059.96","53,960.75","56,265.53","59,327.31","60,056.50","59,718.95","63,754.29","66,628.25","67,738.22","59,002.53","67,962.30","75,135.77",228.73%
