"Time Series - GHGs from Energy ? Manufacturing Industries and Construction, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Lithuania,"6,157.61","6,157.61","6,205.90","3,047.46","2,003.31","2,051.21","1,755.06","1,536.74","1,562.00","1,531.05","1,190.97","1,088.30","1,048.93","1,113.72","1,139.03","1,218.73","1,489.12","1,631.46","1,638.24","1,477.20","1,189.67","1,287.78","1,382.00","1,481.71","1,426.13","1,305.50","1,182.27","1,145.47","1,177.58","1,252.87","1,296.11","1,181.47","1,275.00",-79.29%
Luxembourg,"6,244.49","6,244.49","6,073.15","5,724.68","5,863.45","5,146.70","3,289.69","3,131.78","2,362.98","1,313.67","1,404.73","1,343.43","1,425.92","1,320.59","1,273.68","1,363.34","1,373.49","1,472.79","1,386.16","1,338.96","1,211.49","1,270.11","1,294.36","1,246.68","1,199.91","1,180.97","1,144.72","1,196.45","1,179.15","1,201.25","1,237.32","1,141.89","1,193.90",-80.88%
Malta,52.83,52.83,54.77,63.68,65.36,70.71,75.54,76.20,78.55,59.91,63.66,62.63,56.63,59.77,64.23,64.38,27.84,30.75,36.96,36.96,21.52,30.84,15.31,27.82,53.64,62.88,59.88,59.68,53.66,43.32,47.24,50.02,54.41,3.00%
Monaco,3.88,3.88,3.98,3.93,3.90,3.83,3.86,3.86,3.81,3.85,3.89,3.96,3.93,3.99,3.99,3.99,4.01,3.96,3.91,4.02,3.97,4.03,3.87,2.28,2.45,2.58,4.76,5.87,5.19,7.12,5.51,7.07,6.89,77.74%
Netherlands,"35,474.16","35,474.16","37,445.11","38,844.54","33,509.70","33,408.62","30,127.10","31,235.46","30,294.50","29,787.25","29,504.59","28,843.98","28,656.07","29,059.61","29,561.32","28,910.18","28,774.71","28,779.35","29,658.48","28,702.73","26,517.98","28,453.77","28,116.07","27,809.00","26,704.23","26,026.24","25,517.63","27,797.40","28,841.40","28,101.37","26,933.85","27,588.54","27,830.43",-21.55%
New Zealand,"4,757.72","4,757.72","5,241.40","5,095.75","5,369.37","5,688.98","5,783.59","6,133.12","6,213.97","5,948.36","5,810.78","6,335.25","6,711.14","6,975.45","6,421.83","5,896.56","5,084.74","5,136.15","5,577.72","5,566.57","5,253.07","5,512.94","5,301.44","5,697.52","6,362.74","7,063.83","6,857.23","6,827.91","6,869.04","6,915.79","7,325.53","6,496.01","6,301.96",32.46%
Norway,"3,415.23","3,415.23","3,156.85","3,225.21","3,444.42","4,054.99","3,944.36","4,400.06","4,116.92","4,135.32","3,870.89","3,480.24","3,539.31","3,400.29","3,594.58","3,420.58","3,248.67","3,555.57","3,465.96","3,365.67","3,066.21","3,369.18","3,189.40","3,057.83","3,159.72","2,935.51","2,916.11","2,884.70","2,991.93","3,095.36","2,917.25","2,715.60","2,853.17",-16.46%
Poland,"55,224.36","42,830.74","39,659.66","36,721.37","47,733.43","48,761.89","63,324.39","67,871.96","64,048.23","53,785.77","45,916.44","45,962.90","40,622.29","38,469.41","37,591.64","38,278.52","33,872.34","33,804.48","36,085.37","31,964.60","28,034.71","29,615.73","30,555.30","29,474.45","29,288.85","29,421.94","27,954.16","28,650.20","31,029.04","31,552.04","31,186.79","28,906.83","30,106.35",-45.48%
Portugal,"9,002.44","9,002.44","9,345.70","9,473.20","9,373.28","9,792.55","10,099.49","10,323.80","11,302.80","11,305.03","11,303.52","11,671.39","10,809.18","11,033.22","10,401.13","10,929.10","10,612.92","10,326.72","10,380.57","9,754.48","8,639.15","9,228.58","8,520.08","7,617.96","7,535.90","7,548.63","7,836.39","7,354.68","7,607.65","7,632.84","7,833.49","7,620.88","7,335.25",-18.52%
Romania,"65,967.36","54,108.35","34,813.34","35,131.62","31,678.98","29,325.40","28,937.98","28,338.09","22,517.16","18,481.81","16,982.34","17,692.76","19,064.63","19,808.93","17,779.40","18,220.59","17,462.91","16,103.05","18,237.16","19,736.66","14,201.97","15,029.91","16,471.54","18,105.61","14,849.85","14,226.19","13,044.10","12,753.11","12,973.70","13,847.88","13,344.46","14,597.71","14,511.48",-78.00%
Russian Federation,"211,289.43","211,289.43","215,499.88","124,618.37","107,390.57","74,994.66","105,110.95","132,044.02","99,306.65","94,551.98","95,169.36","99,325.57","105,679.32","101,297.07","96,374.42","93,696.50","112,001.35","114,758.21","110,044.72","125,418.51","120,294.65","129,731.32","140,508.89","150,828.72","143,416.67","138,543.93","144,762.98","164,537.65","176,887.72","165,098.48","159,337.45","147,150.32","167,646.13",-20.66%
Slovakia,"16,094.81","16,094.81","14,787.20","13,681.50","12,899.16","12,261.32","11,809.02","11,361.86","10,993.75","10,338.58","9,780.98","9,434.03","9,493.30","8,368.90","9,228.08","8,562.56","8,576.38","9,204.29","8,316.89","8,140.61","7,710.11","7,664.18","8,806.68","7,039.46","7,181.27","7,301.81","6,768.99","6,708.49","7,134.37","7,631.54","6,327.49","5,930.99","7,032.32",-56.31%
